batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
alpha;3;17;PROTEINS;GCN;;3;0.764264286;0.009376868;0.005413737;2.93086E-05;0.825842679;-0.061578393;470;0.32623136;470;3;5;100;47
alpha;3;19;PROTEINS;GCN;;3;0.801801801;0.011917792;0.00688074;4.73446E-05;0.825842679;-0.024040878;700;0.282445192;900;4;5;64;15
alpha;4;10;IMDB-BINARY;GCN;;3;0.721666674;0.035118843;0.020275874;0.000411111;0.762499988;-0.040833314;710;0.578038812;730;0;5;100;88
alpha;4;13;IMDB-BINARY;GCN;;3;0.668333332;0.020816674;0.012018512;0.000144445;0.774999976;-0.106666644;460;0.524657488;540;1;5;88;31
alpha;4;16;IMDB-BINARY;GCN;;3;0.656666676;0.010408353;0.006009266;3.61113E-05;0.793749988;-0.137083312;550;0.408673942;730;2;5;100;96
alpha;4;18;IMDB-BINARY;GCN;;3;0.715000014;0.039051245;0.022546247;0.000508333;0.768750012;-0.053749998;610;0.586178184;810;3;5;92;61
alpha;4;20;IMDB-BINARY;GCN;;3;0.678333342;0.005773497;0.00333333;1.11111E-05;0.787500024;-0.109166682;720;0.523139477;690;4;5;100;86
alpha;5;21;MUTAG;GIN;;3;0.815789481;0.09488293;0.054780685;0.003000923;1;-0.184210519;390;0.253371358;530;0;5;100;40
alpha;5;25;MUTAG;GIN;;3;0.833333353;0.040198029;0.023208343;0.000538627;1;-0.166666647;360;0.135332525;500;1;5;100;46
alpha;5;29;MUTAG;GIN;;3;0.859649142;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.107017497;360;0.046234831;360;2;5;100;14
alpha;5;33;MUTAG;GIN;;3;0.864864866;0.027027041;0.015604069;0.000243487;0.983333319;-0.118468453;420;0.093281694;620;3;5;100;99
alpha;5;37;MUTAG;GIN;;3;0.846846859;0.031208138;0.018018027;0.000324649;0.966666639;-0.11981978;430;0.288274102;350;4;5;100;31
alpha;6;22;ENZYMES;GIN;;3;0.716666659;0.02204794;0.012729384;0.000162037;0.854166687;-0.137500028;440;0.005079936;560;0;5;73;41
alpha;6;26;ENZYMES;GIN;;3;0.677777787;0.012729365;0.007349302;5.40122E-05;0.802083313;-0.124305526;920;0.023904683;980;1;5;100;88
