batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
eta;15;73;PROTEINS;GCN;ged_mixup;3;0.747384171;0.028479172;0.016442458;0.000270354;0.814606726;-0.067222555;620;0.069182359;820;2;5;20;14
eta;15;74;PROTEINS;GCN;ged_mixup;3;0.741741737;0.009376902;0.005413757;2.93088E-05;0.776536286;-0.034794549;100;0.455202639;220;3;5;20;6
eta;15;75;PROTEINS;GCN;ged_mixup;3;0.807807803;0.00688074;0.003972597;1.57815E-05;0.804469287;0.003338516;290;0.350963235;490;4;5;20;13
eta;16;76;PROTEINS;GCN;g_mixup;3;0.726457397;0.020549651;0.011864347;0.000140763;0.775280893;-0.048823496;50;0.570215821;200;0;5;20;1
eta;16;77;PROTEINS;GCN;g_mixup;3;0.674140513;0.010356038;0.005979061;3.57492E-05;0.719101131;-0.044960618;220;0.594962537;350;1;5;20;13
eta;16;78;PROTEINS;GCN;g_mixup;3;0.718983551;0.032440264;0.018729395;0.00035079;0.792134821;-0.073151271;390;0.427597284;560;2;5;20;14
eta;16;79;PROTEINS;GCN;g_mixup;3;0.779279292;0.011917792;0.00688074;4.73446E-05;0.770949721;0.00832957;210;0.513284802;410;3;5;20;8
eta;16;80;PROTEINS;GCN;g_mixup;3;0.77627629;0.017053769;0.009845998;9.69437E-05;0.804469287;-0.028192997;850;0.47934261;970;4;5;17;1
eta;17;81;IMDB-BINARY;GCN;emb_mixup;3;0.648333351;0.128484774;0.074180719;0.005502779;0.731249988;-0.082916637;220;0.597341776;140;0;5;20;4
eta;17;101;IMDB-BINARY;GCN;emb_mixup;3;0.658333341;0.027537857;0.015898989;0.000252778;0.787500024;-0.129166683;200;0.586869597;340;1;5;20;8
eta;17;83;IMDB-BINARY;GCN;emb_mixup;3;0.646666686;0.040722634;0.023511224;0.000552778;0.737500012;-0.090833326;450;0.504012287;630;2;5;20;1
eta;17;84;IMDB-BINARY;GCN;emb_mixup;3;0.711666644;0.005773497;0.00333333;1.11111E-05;0.762499988;-0.050833344;450;0.615444183;290;3;5;20;5
eta;17;85;IMDB-BINARY;GCN;emb_mixup;3;0.665000002;0.056789063;0.032787181;0.001074999;0.762499988;-0.097499986;350;0.573805869;520;4;5;20;16
eta;18;86;IMDB-BINARY;GCN;geomix;3;0.495000005;0.008660246;0.004999995;2.5E-05;0.706250012;-0.211250007;340;0.656452239;410;0;5;20;19
eta;18;87;IMDB-BINARY;GCN;geomix;3;0.686666667;0.014433743;0.008333325;6.94443E-05;0.793749988;-0.107083321;200;0.590596437;270;1;5;20;7
eta;18;88;IMDB-BINARY;GCN;geomix;3;0.62833333;0.007637619;0.004409581;1.94444E-05;0.71875;-0.09041667;120;0.536372721;300;2;5;20;14
eta;18;89;IMDB-BINARY;GCN;geomix;3;0.666666667;0.076539767;0.044190255;0.001952779;0.756250024;-0.089583357;150;0.659843922;310;3;5;20;2
eta;18;90;IMDB-BINARY;GCN;geomix;3;0.656666676;0.040722634;0.023511224;0.000552778;0.762499988;-0.105833312;360;0.585683346;530;4;5;20;7
eta;19;91;IMDB-BINARY;GCN;ged_mixup;3;0.706666668;0.044814458;0.025873639;0.000669445;0.731249988;-0.02458332;330;0.608662665;450;0;5;20;12
eta;19;92;IMDB-BINARY;GCN;ged_mixup;3;0.680000007;0.035000022;0.020207272;0.000408334;0.806249976;-0.126249969;360;0.646919906;540;1;5;20;0
eta;19;93;IMDB-BINARY;GCN;ged_mixup;3;0.651666661;0.055302179;0.031928728;0.001019444;0.743749976;-0.092083315;440;0.517392874;620;2;5;20;2
eta;19;94;IMDB-BINARY;GCN;ged_mixup;3;0.723333339;0.034034298;0.019649711;0.000386111;0.762499988;-0.039166649;220;0.588952243;340;3;5;20;17
eta;19;95;IMDB-BINARY;GCN;ged_mixup;3;0.686666667;0.014433743;0.008333325;6.94443E-05;0.762499988;-0.075833321;160;0.555643737;300;4;5;20;19
eta;20;96;IMDB-BINARY;GCN;g_mixup;3;0.701666673;0.034034298;0.019649711;0.000386111;0.731249988;-0.029583315;270;0.633101583;430;0;5;20;15
eta;20;97;IMDB-BINARY;GCN;g_mixup;3;0.658333341;0.012583077;0.007264843;5.27779E-05;0.806249976;-0.147916635;510;0.643442452;710;1;5;20;5
eta;20;98;IMDB-BINARY;GCN;g_mixup;3;0.641666671;0.071821537;0.041466184;0.001719444;0.731249988;-0.089583317;110;0.582622886;310;2;5;20;19
eta;20;99;IMDB-BINARY;GCN;g_mixup;3;0.716666679;0.018929711;0.010929073;0.000119445;0.774999976;-0.058333298;300;0.619448841;470;3;5;20;13
eta;20;100;IMDB-BINARY;GCN;g_mixup;3;0.709999998;0.018027764;0.010408334;0.000108333;0.756250024;-0.046250025;350;0.512445509;500;4;5;20;4
zeta;1;1;MUTAG;GIN;emb_mixup;3;0.807017545;0.015193405;0.008771916;7.69465E-05;0.899999976;-0.092982431;350;0.320676059;250;0;5;20;17
zeta;1;2;MUTAG;GIN;emb_mixup;3;0.88596491;0.015193405;0.008771916;7.69465E-05;1;-0.11403509;520;0.190258205;660;1;5;20;17
zeta;1;3;MUTAG;GIN;emb_mixup;3;0.807017545;0.015193405;0.008771916;7.69465E-05;1;-0.192982455;80;0.234101593;170;2;5;20;1
zeta;1;4;MUTAG;GIN;emb_mixup;3;0.810810804;0.071506806;0.041284474;0.001704408;0.967741907;-0.156931102;100;0.350451022;270;3;5;20;0
zeta;1;5;MUTAG;GIN;emb_mixup;3;0.783783793;0;0;0;0.935483813;-0.15170002;230;0.445148617;220;4;5;20;2
zeta;2;6;PROTEINS;GIN;emb_mixup;3;0.745889366;0.002589009;0.001494765;2.23432E-06;0.780898869;-0.035009503;330;0.526226103;470;0;5;20;7
zeta;2;7;PROTEINS;GIN;emb_mixup;3;0.720478356;0.010356038;0.005979061;3.57492E-05;0.719101131;0.001377225;560;0.501899302;710;1;5;20;19
zeta;2;8;PROTEINS;GIN;emb_mixup;3;0.597907325;0.167807298;0.096883589;0.00938643;0.758426964;-0.16051964;390;0.520703256;360;2;5;20;0
zeta;2;9;PROTEINS;GIN;emb_mixup;3;0.765765786;0;0;0;0.759776533;0.005989254;200;0.401625544;380;3;5;20;4
zeta;2;10;PROTEINS;GIN;emb_mixup;3;0.732732713;0.002600675;0.001501501;2.2545E-06;0.798882663;-0.06614995;200;0.623676002;360;4;5;20;11
zeta;3;11;ENZYMES;GIN;emb_mixup;3;0.719444434;0.026787927;0.015466017;0.000239198;0.75;-0.030555566;330;0.311740369;520;0;5;20;0
zeta;3;12;ENZYMES;GIN;emb_mixup;3;0.686111112;0.026787893;0.015465997;0.000239197;0.739583313;-0.053472201;610;0.448595166;760;1;5;20;0
zeta;3;13;ENZYMES;GIN;emb_mixup;3;0.683333337;0.022047907;0.012729365;0.000162037;0.739583313;-0.056249976;600;0.492516667;770;2;5;20;0
zeta;3;14;ENZYMES;GIN;emb_mixup;3;0.76111116;0.0173472;0.010015411;0.000100308;0.822916687;-0.061805526;520;0.311025947;630;3;5;20;7
zeta;3;15;ENZYMES;GIN;emb_mixup;3;0.688888888;0.004811248;0.002777775;7.71603E-06;0.6875;0.001388888;490;0.374071598;670;4;5;20;12
zeta;4;16;IMDB-BINARY;GIN;emb_mixup;3;0.678333342;0.045368874;0.026193732;0.000686112;0.71875;-0.040416658;350;0.662106633;270;0;5;20;13
zeta;4;17;IMDB-BINARY;GIN;emb_mixup;3;0.640000006;0.124899965;0.072111028;0.0052;0.8125;-0.172499994;370;0.579883993;480;1;5;20;12
zeta;4;18;IMDB-BINARY;GIN;emb_mixup;3;0.641666671;0.037527762;0.021666664;0.000469444;0.743749976;-0.102083306;170;0.588076711;370;2;5;20;11
zeta;4;19;IMDB-BINARY;GIN;emb_mixup;3;0.729999959;0.015000015;0.008660263;7.50002E-05;0.800000012;-0.070000052;590;0.508795738;700;3;5;20;19
zeta;4;20;IMDB-BINARY;GIN;emb_mixup;3;0.698333323;0.007637619;0.004409581;1.94444E-05;0.75;-0.051666677;70;0.590169132;260;4;5;20;10
zeta;5;21;MUTAG;GIN;if_mixup;3;0.807017545;0.040198029;0.023208343;0.000538627;0.899999976;-0.092982431;330;0.312656492;510;0;5;20;0
zeta;5;22;MUTAG;GIN;if_mixup;3;0.824561397;0.015193439;0.008771936;7.69469E-05;1;-0.175438603;160;0.348744452;140;1;5;20;2
zeta;5;23;MUTAG;GIN;if_mixup;3;0.798245629;0.040198029;0.023208343;0.000538627;0.966666639;-0.16842101;70;0.300013751;260;2;5;20;19
zeta;5;24;MUTAG;GIN;if_mixup;3;0.909909904;0.015604052;0.009009004;8.11621E-05;0.967741907;-0.057832003;170;0.345314354;370;3;5;20;0
zeta;5;25;MUTAG;GIN;if_mixup;3;0.864864886;0;0;0;0.967741907;-0.102877021;300;0.324662268;470;4;5;20;0
zeta;6;26;ENZYMES;GIN;if_mixup;3;0.733333329;0.044095881;0.025458769;0.000648149;0.729166687;0.004166643;240;0.349841028;410;0;5;20;19
zeta;6;27;ENZYMES;GIN;if_mixup;3;0.674999992;0.036324157;0.020971762;0.000439815;0.760416687;-0.085416694;760;0.116075642;930;1;5;20;1
zeta;6;28;ENZYMES;GIN;if_mixup;3;0.738888899;0.024056238;0.013888876;0.000192901;0.75;-0.011111101;690;0.478957117;880;2;5;20;18
zeta;6;29;ENZYMES;GIN;if_mixup;3;0.686111112;0.067871055;0.039185372;0.001535493;0.791666687;-0.105555574;280;0.362593889;410;3;5;20;3
zeta;6;30;ENZYMES;GIN;if_mixup;3;0.669444442;0.02097177;0.012108057;0.000146605;0.697916687;-0.028472245;150;0.445112079;330;4;5;20;17
zeta;8;36;IMDB-BINARY;GIN;if_mixup;3;0.671666682;0.01040832;0.006009246;3.6111E-05;0.71875;-0.047083318;560;0.640960693;600;0;5;20;18
zeta;8;37;IMDB-BINARY;GIN;if_mixup;3;0.671666662;0.036170891;0.020883273;0.000436111;0.806249976;-0.134583314;290;0.609979689;460;1;5;20;10
zeta;8;38;IMDB-BINARY;GIN;if_mixup;3;0.705000003;0.013228778;0.007637638;5.83335E-05;0.737500012;-0.032500009;390;0.5684219;490;2;5;20;2
zeta;8;39;IMDB-BINARY;GIN;if_mixup;3;0.713333289;0.015275205;0.008819144;7.77773E-05;0.793749988;-0.080416699;500;0.583918035;680;3;5;20;19
zeta;8;40;IMDB-BINARY;GIN;if_mixup;3;0.703333318;0.011546994;0.00666666;4.44444E-05;0.75;-0.046666682;110;0.573601186;300;4;5;20;18
zeta;9;41;MUTAG;GIN;fgw_mixup;3;0.868421058;0.026315778;0.015193422;0.00023084;0.933333337;-0.064912279;260;0.320604384;420;0;5;20;10
zeta;9;42;MUTAG;GIN;fgw_mixup;3;0.807017545;0.060773722;0.035087725;0.001231148;1;-0.192982455;210;0.377168179;400;1;5;20;21
zeta;9;43;MUTAG;GIN;fgw_mixup;3;0.798245629;0.015193405;0.008771916;7.69465E-05;1;-0.201754371;70;0.470337272;230;2;5;20;14
zeta;9;44;MUTAG;GIN;fgw_mixup;3;0.855855842;0.031208138;0.018018027;0.000324649;0.967741907;-0.111886064;30;0.514162958;220;3;5;20;19
zeta;9;45;MUTAG;GIN;fgw_mixup;3;0.810810804;0.027027011;0.015604052;0.000243486;0.935483813;-0.124673009;100;0.47074151;220;4;5;20;19
zeta;12;56;PROTEINS;GIN;geomix;3;0.74140507;0.006849875;0.003954777;1.56403E-05;0.780898869;-0.039493799;250;0.461857349;450;0;5;20;17
zeta;12;57;PROTEINS;GIN;geomix;3;0.738415619;0.022570492;0.01303108;0.000169809;0.76404494;-0.025629322;460;0.546961427;640;1;5;20;2
zeta;12;58;PROTEINS;GIN;geomix;3;0.515695075;0.103431054;0.059715947;0.003565994;0.752808988;-0.237113913;320;0.611953616;500;2;5;20;6
zeta;12;59;PROTEINS;GIN;geomix;3;0.744744758;0.065638111;0.037896181;0.001436121;0.776536286;-0.031791528;490;0.330866277;640;3;5;20;17
zeta;12;60;PROTEINS;GIN;geomix;3;0.732732713;0.00688074;0.003972597;1.57815E-05;0.798882663;-0.06614995;140;0.65232718;280;4;5;20;2
zeta;13;61;IMDB-BINARY;GIN;geomix;3;0.693333348;0.030138571;0.017400512;0.000302778;0.71875;-0.025416652;330;0.637783527;490;0;5;20;7
zeta;13;62;IMDB-BINARY;GIN;geomix;3;0.703333318;0.012583045;0.007264825;5.27777E-05;0.8125;-0.109166682;250;0.604149282;420;1;5;20;7
zeta;13;63;IMDB-BINARY;GIN;geomix;3;0.705000003;0.020000011;0.011547012;0.000133333;0.75;-0.044999997;580;0.496893376;570;2;5;20;7
zeta;13;64;IMDB-BINARY;GIN;geomix;3;0.726666669;0.016072758;0.009279611;8.61112E-05;0.78125;-0.054583331;340;0.599557221;450;3;5;20;4
zeta;13;65;IMDB-BINARY;GIN;geomix;3;0.698333323;0.012583045;0.007264825;5.27777E-05;0.75;-0.051666677;60;0.621299863;260;4;5;20;5
zeta;14;66;IMDB-BINARY;GIN;submix;3;0.686666667;0.01040832;0.006009246;3.6111E-05;0.725000024;-0.038333356;200;0.620799422;310;0;5;20;10
zeta;14;67;IMDB-BINARY;GIN;submix;3;0.713333329;0.007637645;0.004409596;1.94445E-05;0.818750024;-0.105416695;310;0.558488905;340;1;5;20;17
zeta;14;163;IMDB-BINARY;GIN;submix;3;0.706666668;0.01607277;0.009279618;8.61113E-05;0.787500024;-0.080833356;480;0.476501077;670;2;5;20;12
zeta;14;69;IMDB-BINARY;GIN;submix;3;0.718333304;0.012583022;0.007264811;5.27775E-05;0.8125;-0.094166696;410;0.500971377;330;3;5;20;17
zeta;14;164;IMDB-BINARY;GIN;submix;3;0.694999993;0.008660246;0.004999995;2.5E-05;0.75;-0.055000007;20;0.511415184;210;4;5;20;0
zeta;15;71;PROTEINS;GIN;submix;3;0.720478316;0.026275644;0.01517025;0.000230136;0.814606726;-0.09412841;450;0.288348347;650;0;5;20;2
zeta;15;72;PROTEINS;GIN;submix;3;0.754858017;0.006849934;0.003954811;1.56405E-05;0.730337083;0.024520934;340;0.481889457;540;1;5;20;0
zeta;15;73;PROTEINS;GIN;submix;3;0.57399103;0.14865996;0.085828868;0.007366595;0.775280893;-0.201289862;360;0.501380444;510;2;5;19;15
zeta;15;74;PROTEINS;GIN;submix;3;0.77477479;0.011917792;0.00688074;4.73446E-05;0.754189968;0.020584822;380;0.286655009;550;3;5;19;10
zeta;15;75;PROTEINS;GIN;submix;3;0.729729712;0.011917792;0.00688074;4.73446E-05;0.815642476;-0.085912764;240;0.542413056;260;4;5;20;11
zeta;16;76;ENZYMES;GIN;submix;3;0.766666651;0.014433743;0.008333325;6.94443E-05;0.739583313;0.027083337;590;0.478215724;770;0;5;20;1
zeta;16;77;ENZYMES;GIN;submix;3;0.677777767;0.033678766;0.019444444;0.000378086;0.760416687;-0.082638919;350;0.460242927;530;1;5;20;3
zeta;16;79;ENZYMES;GIN;submix;3;0.705555538;0.004811248;0.002777775;7.71603E-06;0.760416687;-0.054861148;820;0.227535173;990;2;5;19;14
zeta;16;81;ENZYMES;GIN;submix;3;0.747222265;0.017347224;0.010015424;0.000100309;0.833333313;-0.086111049;420;0.104385674;600;3;5;20;14
zeta;16;84;ENZYMES;GIN;submix;3;0.638888896;0.017347234;0.01001543;0.000100309;0.697916687;-0.059027791;180;0.699034691;370;4;5;20;1
zeta;17;78;MUTAG;GIN;submix;3;0.912280699;0.015193439;0.008771936;7.69469E-05;0.933333337;-0.021052639;240;0.320588052;290;0;5;20;5
zeta;17;80;MUTAG;GIN;submix;3;0.815789481;0.026315778;0.015193422;0.00023084;1;-0.184210519;210;0.264760584;210;1;5;20;5
zeta;17;83;MUTAG;GIN;submix;3;0.824561417;0.030386844;0.017543852;0.000307787;0.966666639;-0.142105222;80;0.252349854;230;2;5;20;0
zeta;17;86;MUTAG;GIN;submix;3;0.9009009;0.015604052;0.009009004;8.11621E-05;0.967741907;-0.066841006;90;0.302155793;280;3;5;20;0
zeta;17;88;MUTAG;GIN;submix;3;0.783783774;0.04681219;0.027027031;0.00073046;0.935483813;-0.15170004;50;0.338435441;160;4;5;20;0
zeta;18;82;MUTAG;GIN;ged_mixup;3;0.807017545;0.040198029;0.023208343;0.000538627;0.933333337;-0.126315792;320;0.397843093;350;0;5;20;8
zeta;18;85;MUTAG;GIN;ged_mixup;3;0.763157904;0.026315808;0.015193439;0.000230841;1;-0.236842096;230;0.234004095;380;1;5;20;1
zeta;18;87;MUTAG;GIN;ged_mixup;3;0.842105269;0;0;0;1;-0.157894731;90;0.10641662;260;2;5;20;16
zeta;18;89;MUTAG;GIN;ged_mixup;3;0.891891897;0;0;0;0.967741907;-0.07585001;110;0.229216561;270;3;5;20;19
zeta;18;90;MUTAG;GIN;ged_mixup;3;0.837837815;0;0;0;0.935483813;-0.097645998;100;0.35444203;100;4;5;20;2
zeta;19;91;ENZYMES;GIN;ged_mixup;3;0.725000004;0.02204794;0.012729384;0.000162037;0.729166687;-0.004166683;310;0.21366708;510;0;5;20;6
zeta;19;92;ENZYMES;GIN;ged_mixup;3;0.683333337;0.014433743;0.008333325;6.94443E-05;0.75;-0.066666663;490;0.407468408;570;1;5;20;17
zeta;19;93;ENZYMES;GIN;ged_mixup;3;0.708333333;0.02204794;0.012729384;0.000162037;0.739583313;-0.03124998;310;0.399080992;460;2;5;20;19
zeta;19;94;ENZYMES;GIN;ged_mixup;3;0.752777835;0.012729365;0.007349302;5.40122E-05;0.822916687;-0.070138852;240;0.194991261;370;3;5;20;1
zeta;19;95;ENZYMES;GIN;ged_mixup;3;0.688888907;0.038490016;0.022222221;0.000493827;0.708333313;-0.019444406;260;0.279714108;310;4;5;20;1
zeta;20;96;PROTEINS;GIN;ged_mixup;3;0.707025389;0.014415028;0.00832252;6.92643E-05;0.803370774;-0.096345385;350;0.312045097;530;0;5;20;2
zeta;20;97;PROTEINS;GIN;ged_mixup;3;0.711509724;0.020220872;0.011674526;0.000136295;0.752808988;-0.041299264;420;0.458000809;610;1;5;20;11
zeta;20;98;PROTEINS;GIN;ged_mixup;3;0.473841548;0.106149592;0.061285496;0.003755912;0.769662917;-0.295821369;280;0.519283295;350;2;5;20;5
zeta;20;99;PROTEINS;GIN;ged_mixup;3;0.77627629;0.009376868;0.005413737;2.93086E-05;0.770949721;0.005326569;260;0.391241938;420;3;5;20;2
zeta;20;100;PROTEINS;GIN;ged_mixup;3;0.746246239;0.005201385;0.003003021;9.01814E-06;0.810055852;-0.063809613;230;0.541442692;250;4;5;20;15
zeta;21;101;IMDB-BINARY;GIN;ged_mixup;3;0.711666683;0.032145506;0.018559216;0.000344445;0.725000024;-0.01333334;640;0.602088392;830;0;5;20;19
zeta;21;102;IMDB-BINARY;GIN;ged_mixup;3;0.720000009;0.013228778;0.007637638;5.83335E-05;0.8125;-0.092499991;140;0.568643451;290;1;5;20;12
zeta;21;103;IMDB-BINARY;GIN;ged_mixup;3;0.698333323;0.002886749;0.001666665;2.77777E-06;0.774999976;-0.076666653;620;0.41468969;820;2;5;20;16
zeta;21;104;IMDB-BINARY;GIN;ged_mixup;3;0.723333299;0.007637599;0.00440957;1.94443E-05;0.793749988;-0.070416689;510;0.480172038;710;3;5;20;16
zeta;21;105;IMDB-BINARY;GIN;ged_mixup;3;0.666666647;0.020207275;0.011666675;0.000136111;0.75;-0.083333353;110;0.474617094;280;4;5;20;14
zeta;22;106;IMDB-BINARY;GIN;g_mixup;3;0.654999991;0.030000001;0.017320509;0.0003;0.712499976;-0.057499985;560;0.645661056;620;0;5;20;13
zeta;22;107;IMDB-BINARY;GIN;g_mixup;3;0.626666685;0.11372483;0.065659061;0.004311112;0.818750024;-0.192083339;420;0.643974602;460;1;5;20;11
zeta;22;108;IMDB-BINARY;GIN;g_mixup;3;0.719999989;0.00866028;0.005000015;2.50002E-05;0.756250024;-0.036250035;360;0.560290575;560;2;5;20;0
zeta;22;109;IMDB-BINARY;GIN;g_mixup;3;0.724999964;0.018027756;0.01040833;0.000108333;0.787500024;-0.06250006;680;0.581079662;880;3;5;20;8
zeta;22;110;IMDB-BINARY;GIN;g_mixup;3;0.685000002;0.027838795;0.016072736;0.000258333;0.756250024;-0.071250021;200;0.549788535;380;4;5;20;19
zeta;23;111;PROTEINS;GIN;g_mixup;3;0.721973101;0.013452917;0.007767045;6.0327E-05;0.803370774;-0.081397672;480;0.50186944;670;0;5;20;7
zeta;23;112;PROTEINS;GIN;g_mixup;3;0.718983571;0.044241095;0.025542608;0.000652425;0.741573036;-0.022589465;440;0.595966935;570;1;5;20;15
zeta;23;113;PROTEINS;GIN;g_mixup;3;0.406576981;0.002589027;0.001494775;2.23435E-06;0.769662917;-0.363085936;240;0.624868989;390;2;5;20;5
zeta;23;114;PROTEINS;GIN;g_mixup;3;0.764264266;0.015819322;0.00913329;8.3417E-05;0.754189968;0.010074298;180;0.580930531;360;3;5;20;1
zeta;23;115;PROTEINS;GIN;g_mixup;3;0.72522523;0.023406112;0.013513525;0.000182615;0.787709475;-0.062484245;150;0.599187732;270;4;5;20;3
zeta;24;116;ENZYMES;GIN;g_mixup;3;0.683333337;0.016666651;0.009622495;9.25924E-05;0.6875;-0.004166663;90;0.435267121;280;0;5;20;7
zeta;24;117;ENZYMES;GIN;g_mixup;3;0.586111108;0.14051821;0.081128226;0.006581789;0.729166687;-0.143055578;490;0.291180402;670;1;5;20;3
zeta;24;118;ENZYMES;GIN;g_mixup;3;0.658333321;0.014433777;0.008333345;6.94446E-05;0.708333313;-0.049999992;380;0.584662139;580;2;5;20;1
zeta;24;119;ENZYMES;GIN;g_mixup;3;0.730555594;0.05672384;0.032749525;0.001072531;0.84375;-0.113194406;470;0.18513304;650;3;5;20;3
zeta;24;120;ENZYMES;GIN;g_mixup;3;0.616666675;0.014433743;0.008333325;6.94443E-05;0.645833313;-0.029166639;160;0.481115073;360;4;5;20;7
zeta;25;121;MUTAG;GIN;g_mixup;3;0.824561397;0.015193439;0.008771936;7.69469E-05;0.933333337;-0.10877194;280;0.448612034;400;0;5;20;12
zeta;25;122;MUTAG;GIN;g_mixup;3;0.798245629;0.015193405;0.008771916;7.69465E-05;0.966666639;-0.16842101;370;0.230475351;500;1;5;20;4
zeta;25;124;MUTAG;GIN;g_mixup;3;0.824561397;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.142105242;220;0.25980106;350;2;5;20;20
zeta;25;126;MUTAG;GIN;g_mixup;3;0.87387387;0.031208138;0.018018027;0.000324649;0.967741907;-0.093868037;10;0.554324389;150;3;5;20;0
zeta;25;128;MUTAG;GIN;g_mixup;3;0.837837835;0.054054052;0.031208121;0.000973947;0.935483813;-0.097645978;210;0.477695525;390;4;5;20;0
zeta;26;123;MUTAG;GIN;s_mixup;3;0.657894731;0;0;0;0.899999976;-0.242105246;110;0.459800035;280;0;5;20;0
zeta;26;125;MUTAG;GIN;s_mixup;3;0.798245629;0.040198029;0.023208343;0.000538627;1;-0.201754371;180;0.405981779;310;1;5;20;8
zeta;26;127;MUTAG;GIN;s_mixup;3;0.807017545;0.015193405;0.008771916;7.69465E-05;0.966666639;-0.159649094;50;0.317651659;230;2;5;20;13
zeta;26;129;MUTAG;GIN;s_mixup;3;0.864864866;0.04681219;0.027027031;0.00073046;0.967741907;-0.102877041;370;0.371524125;550;3;5;20;13
zeta;26;130;MUTAG;GIN;s_mixup;3;0.819819808;0.015604052;0.009009004;8.11621E-05;0.935483813;-0.115664005;160;0.413781345;340;4;5;20;10
zeta;27;131;ENZYMES;GIN;s_mixup;3;0.738888899;0.012729365;0.007349302;5.40122E-05;0.708333313;0.030555586;170;0.135867789;350;0;5;20;17
zeta;27;132;ENZYMES;GIN;s_mixup;3;0.669444442;0.048828899;0.028191378;0.000794754;0.739583313;-0.070138872;810;0.411900342;1000;1;5;20;1
zeta;27;133;ENZYMES;GIN;s_mixup;3;0.541666647;0.101036292;0.05833333;0.003402777;0.572916687;-0.03125004;800;0.972105682;960;2;5;11;9
zeta;27;134;ENZYMES;GIN;s_mixup;3;0.74444447;0.025458795;0.014698642;0.00021605;0.802083313;-0.057638844;180;0.074455768;330;3;5;20;18
zeta;27;135;ENZYMES;GIN;s_mixup;3;0.669444462;0.012729365;0.007349302;5.40122E-05;0.677083313;-0.007638852;320;0.49048838;520;4;5;19;9
zeta;28;161;PROTEINS;GIN;s_mixup;3;0.647234658;0.088026492;0.050822119;0.002582888;0.792134821;-0.144900163;380;0.437800258;580;0;5;20;19
zeta;28;137;PROTEINS;GIN;s_mixup;3;0.596412599;0;0;0;0.595505595;0.000907004;10;;10;1;5;20;0
zeta;28;138;PROTEINS;GIN;s_mixup;3;0.469357242;0.082969736;0.0479026;0.002294659;0.76404494;-0.294687698;110;0.627330303;130;2;5;13;8
zeta;28;139;PROTEINS;GIN;s_mixup;3;0.594594598;0;0;0;0.597765386;-0.003170788;10;;10;3;5;20;0
zeta;28;165;PROTEINS;GIN;s_mixup;3;0.735735714;0.00688074;0.003972597;1.57815E-05;0.798882663;-0.063146949;220;0.594769537;300;4;5;20;9
zeta;29;141;IMDB-BINARY;GIN;s_mixup;3;0.685000022;0.035000001;0.02020726;0.000408333;0.706250012;-0.02124999;290;0.660141766;440;0;5;14;1
zeta;29;142;IMDB-BINARY;GIN;s_mixup;3;0.636666675;0.120968324;0.069841094;0.004877778;0.818750024;-0.182083348;220;0.642322183;410;1;5;20;19
zeta;29;143;IMDB-BINARY;GIN;s_mixup;3;0.720000009;0.01000002;0.005773514;3.33335E-05;0.75;-0.029999991;350;0.542786837;550;2;5;14;1
zeta;29;144;IMDB-BINARY;GIN;s_mixup;3;0.738333305;0.007637684;0.004409619;1.94447E-05;0.787500024;-0.049166719;590;0.537847519;650;3;5;20;7
zeta;29;145;IMDB-BINARY;GIN;s_mixup;3;0.714999994;0.030413818;0.017559426;0.000308333;0.75;-0.035000006;250;0.528908253;400;4;5;20;1
zeta;30;146;MUTAG;GIN;geomix;3;0.824561417;0.030386844;0.017543852;0.000307787;0.899999976;-0.075438559;90;0.440223604;290;0;5;20;0
zeta;30;147;MUTAG;GIN;geomix;3;0.736842116;0.120594092;0.069625032;0.004847645;1;-0.263157884;240;0.451189041;380;1;5;20;13
zeta;30;149;MUTAG;GIN;geomix;3;0.807017545;0.015193405;0.008771916;7.69465E-05;0.966666639;-0.159649094;100;0.321802348;240;2;5;20;19
zeta;30;151;MUTAG;GIN;geomix;3;0.909909904;0.015604052;0.009009004;8.11621E-05;0.967741907;-0.057832003;50;0.518009663;220;3;5;20;0
zeta;30;154;MUTAG;GIN;geomix;3;0.810810804;0.046812156;0.027027011;0.000730459;0.935483813;-0.124673009;90;0.483768463;290;4;5;20;3
zeta;31;148;ENZYMES;GIN;geomix;3;0.74444445;0.012729365;0.007349302;5.40122E-05;0.729166687;0.015277763;390;0.232571855;510;0;5;20;5
zeta;31;150;ENZYMES;GIN;geomix;3;0.641666671;0.041666657;0.024056255;0.000578703;0.729166687;-0.087500016;270;0.559694707;450;1;5;20;3
zeta;31;152;ENZYMES;GIN;geomix;3;0.705555558;0.017347234;0.01001543;0.000100309;0.770833313;-0.065277755;680;0.571312547;830;2;5;20;17
zeta;31;153;ENZYMES;GIN;geomix;3;0.672222257;0.055486048;0.032034884;0.001026234;0.822916687;-0.15069443;350;0.216374755;490;3;5;20;5
zeta;31;155;ENZYMES;GIN;geomix;3;0.686111112;0.012729365;0.007349302;5.40122E-05;0.708333313;-0.022222201;390;0.221330717;590;4;5;20;19
